case_id,method,source_type,source_id,target_type,label_source,evaluation_protocol,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5,precision_at_10,recall_at_10,ndcg_at_10,hit_rate_at_10
data1_loo_project_to_expert_1,random,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,2337.17,2337.17,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_1,topic_overlap,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,52.13,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data1_loo_project_to_expert_1,graph_heuristic,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1667.11,1667.11,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_1,pgpr_only,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1487.15,1487.15,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_1,embedding_only,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1.7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data1_loo_project_to_expert_1,hybrid,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,2626.15,2626.15,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_2,random,project,proj_10310410,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1980.37,1980.37,3,0.002,1.0,1.0,0.5,0.3333333333333333,1.0,0.6309297535714574,1.0,0.3333333333333333,1.0,0.6309297535714574,1.0
data1_loo_project_to_expert_2,topic_overlap,project,proj_10310410,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,41.37,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data1_loo_project_to_expert_2,graph_heuristic,project,proj_10310410,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1622.47,1622.47,3,0.002,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
data1_loo_project_to_expert_2,pgpr_only,project,proj_10310410,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,5007.57,5007.57,4,0.002,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0
