case_id,method,source_type,source_id,target_type,label_source,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5,precision_at_10,recall_at_10,ndcg_at_10,hit_rate_at_10
prj_001_to_expert_primary,random,project,prj_001,expert,admin_review,[],False,False,1572.58,1572.58,5,0.08928571428571429,0.4,1.0,0.0,0.0,0.0,0.08123986158227729,0.0,0.0,0.0,0.08123986158227729,0.0
prj_001_to_expert_primary,topic_overlap,project,prj_001,expert,admin_review,[],False,False,16.7,16.7,4,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,0.21000199575396408,0.0,0.0,0.0,0.21000199575396408,0.0
prj_001_to_expert_primary,graph_heuristic,project,prj_001,expert,admin_review,[],False,False,1452.47,1452.47,5,0.08928571428571429,1.0,1.0,1.0,0.4,1.0,0.894999002123018,1.0,0.4,1.0,0.894999002123018,1.0
prj_001_to_expert_primary,pgpr_only,project,prj_001,expert,admin_review,[],False,False,1464.4,1464.4,5,0.08928571428571429,1.0,1.0,1.0,0.4,1.0,0.894999002123018,1.0,0.4,1.0,0.894999002123018,1.0
prj_001_to_expert_primary,embedding_only,project,prj_001,expert,admin_review,[],False,False,29.03,29.03,3,0.05357142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prj_001_to_expert_primary,hybrid,project,prj_001,expert,admin_review,[],False,False,1475.61,1475.61,5,0.08928571428571429,1.0,1.0,1.0,0.4,1.0,0.894999002123018,1.0,0.4,1.0,0.894999002123018,1.0
prj_001_to_expert_secondary,random,project,prj_001,expert,admin_review,[],False,False,1405.67,1405.67,5,0.08928571428571429,0.2,1.0,0.3333333333333333,0.2,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0
prj_001_to_expert_secondary,topic_overlap,project,prj_001,expert,admin_review,[],False,False,19.0,19.0,4,0.07142857142857142,0.0,1.0,1.0,0.5,1.0,0.8772153153380493,1.0,0.5,1.0,0.8772153153380493,1.0
prj_001_to_expert_secondary,graph_heuristic,project,prj_001,expert,admin_review,[],False,False,1426.84,1426.84,5,0.08928571428571429,1.0,1.0,0.3333333333333333,0.2,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0
prj_001_to_expert_secondary,pgpr_only,project,prj_001,expert,admin_review,[],False,False,1579.04,1579.04,5,0.08928571428571429,1.0,1.0,0.3333333333333333,0.2,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0
prj_001_to_expert_secondary,embedding_only,project,prj_001,expert,admin_review,[],False,False,37.97,37.97,3,0.05357142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prj_001_to_expert_secondary,hybrid,project,prj_001,expert,admin_review,[],False,False,1675.41,1675.41,5,0.08928571428571429,1.0,1.0,0.3333333333333333,0.2,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0
prj_005_to_expert_top,random,project,prj_005,expert,admin_review,[],False,False,1469.3,1469.3,5,0.08928571428571429,0.6,1.0,0.25,0.4,1.0,0.4744200353065766,1.0,0.4,1.0,0.4744200353065766,1.0
prj_005_to_expert_top,topic_overlap,project,prj_005,expert,admin_review,[],False,False,24.75,24.75,4,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_expert_top,graph_heuristic,project,prj_005,expert,admin_review,[],False,False,1511.2,1511.2,5,0.08928571428571429,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,1.0,1.0,1.0
prj_005_to_expert_top,pgpr_only,project,prj_005,expert,admin_review,[],False,False,1413.29,1413.29,5,0.08928571428571429,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,1.0,1.0,1.0
