case_id,method,source_type,source_id,target_type,label_source,evaluation_protocol,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5,precision_at_10,recall_at_10,ndcg_at_10,hit_rate_at_10
data1_loo_project_to_expert_1,hybrid,project,proj_10024763,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,3083.98,3083.98,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_2,hybrid,project,proj_10310410,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,3726.57,3726.57,3,0.002,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
data1_loo_project_to_expert_3,hybrid,project,proj_10370888,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,1811.6,1811.6,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_4,hybrid,project,proj_10422445,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,4334.77,4334.77,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_5,hybrid,project,proj_10435701,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,2251.13,2251.13,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_6,hybrid,project,proj_10642524,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,4196.66,4196.66,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_7,hybrid,project,proj_10708916,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,5954.42,5954.42,6,0.006,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0
data1_loo_project_to_expert_8,hybrid,project,proj_10718529,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,3252.27,3252.27,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_9,hybrid,project,proj_10722468,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,5687.19,5687.19,1,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
data1_loo_project_to_expert_10,hybrid,project,proj_10761316,expert,graph_leave_one_edge_out_data1,leave_one_edge_out,"['leave_one_edge_out', 'PARTICIPATES_IN']",False,True,3525.42,3525.42,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
